STOCKNAME,PSMAR5,PSMAR20,PSMAR60,VSMAR5,VSMAR20,VSMAR60
동성화인텍,-0.003,-0.021,-0.038,-0.299,-0.58,-0.785
세종공업,0.011,-0.042,0.009,-0.202,-0.759,-0.75
파라텍,0.059,-0.046,-0.235,0.074,-0.69,-0.57
블루콤,0.058,0.208,0.365,1.105,-0.473,0.253
네패스,-0.013,-0.105,-0.064,0.134,-0.01,-0.531
우리금융캐피탈,-0.004,-0.027,-0.108,0.198,-0.083,-0.247
KT&G,0.008,0.001,-0.031,-0.277,-0.254,-0.428
스카이문스테크놀로지,0.0,0.0,0.0,,,
티비씨,-0.006,0.072,0.083,0.288,0.473,1.548
무학,0.002,-0.023,-0.026,-0.311,-0.635,-0.773
두산중공업,-0.01,-0.054,-0.162,-0.325,-0.351,-0.489
SBS,0.001,-0.013,-0.007,0.142,-0.176,-0.481
LG디스플레이,-0.011,-0.049,0.074,0.096,-0.055,-0.425
파라다이스,0.035,0.11,0.155,-0.386,-0.247,0.033
신세계건설,-0.027,-0.069,0.133,-0.153,-0.468,-0.809
NICE,0.013,0.0,-0.041,0.352,-0.096,-0.338
인천도시가스,0.002,0.008,-0.003,-0.464,-0.526,-0.506
SK,-0.02,-0.086,-0.06,0.07,0.067,-0.251
SK우,-0.022,-0.089,-0.088,0.042,-0.304,-0.76
해성산업,0.007,0.001,-0.01,-0.529,-0.676,-0.694
한국토지신탁,-0.015,-0.015,-0.005,-0.084,-0.265,-0.511
조아제약,-0.027,-0.08,-0.133,0.119,0.24,-0.714
한국기업평가,-0.006,-0.004,-0.061,-0.142,-0.26,-0.616
지투알,-0.014,-0.052,-0.072,-0.005,0.334,0.709
인터파크,0.003,0.028,0.447,-0.631,-0.878,-0.826
백산,0.083,0.161,0.311,0.918,1.449,2.444
프럼파스트,-0.023,-0.022,-0.033,-0.024,-0.24,-0.463
강원랜드,0.042,0.062,0.085,0.031,0.625,0.813
더블유에프엠,0.0,0.0,-0.795,,,
NAVER,-0.017,-0.005,0.145,0.207,0.414,0.378
기산텔레콤,-0.003,-0.032,-0.008,0.467,-0.058,-0.22
신세계 I&C,-0.001,-0.014,0.037,-0.439,-0.435,-0.404
KG이니시스,-0.006,-0.012,-0.042,-0.283,-0.672,-0.643
솔본,-0.013,0.132,0.211,-0.726,-0.714,-0.662
바른손이앤에이,-0.003,-0.016,-0.02,-0.516,-0.568,-0.506
카카오,-0.029,-0.026,0.081,-0.201,-0.082,-0.163
CJ ENM,0.025,-0.001,-0.018,-0.066,-0.409,-0.432
이지홀딩스,0.029,0.045,0.079,-0.172,-0.151,-0.535
서희건설,0.017,0.01,0.022,-0.241,-0.163,-0.529
JYP Ent.,0.003,0.049,0.023,0.74,1.497,1.7
예림당,0.003,-0.024,-0.003,-0.28,-0.464,-0.795
아비코전자,-0.016,-0.107,-0.141,-0.214,-0.265,-0.412
KTH,0.045,0.114,0.519,0.842,-0.3,0.153
위지트,0.021,-0.051,0.119,-0.594,-0.888,-0.836
SCI평가정보,0.037,0.009,-0.054,3.072,3.571,2.541
클라우드에어,-0.023,-0.139,-0.18,-0.297,-0.748,-0.921
지더블유바이텍,0.0,0.0,0.0,,,
금화피에스시,-0.007,0.005,0.0,0.191,0.805,1.197
유니셈,-0.017,0.003,0.195,0.036,0.179,-0.114
제이콘텐트리,0.053,0.142,0.264,-0.278,-0.016,-0.318
한국가스공사,0.01,0.011,0.042,-0.149,0.101,-0.219
대성미생물,-0.017,-0.046,-0.023,0.196,-0.22,-0.887
SK머티리얼즈,0.004,-0.009,-0.004,-0.367,-0.38,-0.533
S&T홀딩스,0.012,0.093,0.155,-0.587,-0.614,-0.632
SFA반도체,-0.006,0.045,0.307,-0.055,-0.686,-0.533
영풍정밀,-0.006,-0.027,-0.023,-0.031,-0.609,-0.6
엔씨소프트,-0.017,-0.046,-0.013,0.138,-0.027,0.029
팜스코,-0.015,-0.145,0.046,-0.422,-0.392,-0.554
버추얼텍,0.023,0.05,0.059,-0.108,-0.834,-0.684
세종텔레콤,0.005,0.145,0.35,-0.466,-0.677,-0.261
HRS,-0.003,-0.058,0.089,0.006,-0.458,-0.117
KCI,0.002,-0.025,-0.052,-0.246,-0.494,-0.742
코맥스,0.01,0.013,0.056,-0.56,-0.622,-0.771
심텍홀딩스,-0.014,-0.065,-0.037,-0.083,-0.433,-0.539
나이스정보통신,0.002,-0.003,0.011,0.037,-0.343,-0.547
에프에스티,-0.036,-0.071,0.003,-0.238,-0.335,-0.422
솔브레인홀딩스,-0.01,-0.038,-0.028,-0.079,-0.303,-0.544
진성티이씨,-0.014,-0.025,-0.051,-0.292,-0.48,-0.683
주성엔지니어링,-0.006,-0.058,0.064,-0.081,-0.366,-0.581
파워넷,0.02,0.016,0.03,0.147,-0.701,-0.861
파세코,0.072,0.141,0.251,0.868,0.893,1.084
한국팩키지,-0.018,-0.118,-0.231,0.268,-0.481,-0.951
YG PLUS,0.036,0.032,0.102,0.084,-0.184,-0.498
인지디스플레,-0.031,-0.102,-0.032,-0.062,-0.208,-0.664
성도이엔지,-0.008,-0.06,0.033,0.239,-0.399,-0.717
EG,0.01,-0.018,0.025,-0.357,-0.7,-0.78
우리조명,0.026,-0.042,0.042,0.392,-0.729,-0.691
희림,0.007,0.006,0.038,-0.13,-0.376,-0.547
삼지전자,-0.004,-0.082,-0.009,0.189,-0.392,-0.673
LG헬로비전,0.001,-0.024,0.057,-0.177,-0.656,-0.848
광주신세계,0.0,0.011,0.028,-0.294,-0.565,-0.623
쎄니트,-0.003,-0.014,-0.017,-0.308,-0.226,-0.449
엘컴텍,-0.028,-0.098,-0.076,-0.522,-0.701,-0.805
제일테크노스,0.074,0.255,0.16,-0.643,0.364,0.995
루멘스,-0.033,-0.027,-0.037,-0.513,-0.347,-0.568
서린바이오,-0.017,-0.048,-0.095,-0.148,-0.481,-0.928
에코플라스틱,0.023,-0.027,-0.003,-0.018,-0.699,-0.853
팍스넷,0.0,0.0,0.0,,,
마크로젠,0.001,0.091,0.197,0.188,-0.164,0.188
UCI,-0.011,-0.11,-0.525,-0.202,-0.795,-0.724
레드캡투어,-0.02,-0.023,0.046,-0.37,-0.648,-0.476
바이오스마트,-0.06,-0.111,-0.189,0.385,0.191,-0.699
삼표시멘트,-0.02,0.01,0.128,-0.726,-0.838,-0.63
골드퍼시픽,-0.061,-0.128,-0.18,0.153,-0.492,-0.838
상상인,-0.004,-0.045,-0.055,-0.465,-0.353,-0.642
위즈코프,0.007,-0.06,-0.054,0.387,0.235,-0.667
에스넷,0.012,-0.028,-0.009,-0.201,-0.639,-0.706
에코바이오,0.008,-0.067,-0.094,-0.143,-0.365,-0.78
아이에이,-0.036,-0.104,0.143,0.569,-0.212,-0.547
파인디지털,-0.016,-0.099,-0.108,0.153,0.157,-0.819
현대통신,0.004,-0.011,0.039,-0.303,-0.726,-0.545
이건홀딩스,-0.01,-0.082,-0.021,-0.217,-0.681,-0.901
이오테크닉스,-0.012,-0.009,-0.045,-0.6,-0.517,-0.661
하나투어,0.004,0.068,0.13,-0.508,-0.477,-0.525
오스코텍,-0.03,-0.056,-0.287,-0.402,-0.403,-0.698
에이아이비트,0.0,0.0,0.0,,,
경남스틸,0.039,0.202,0.347,-0.112,-0.418,0.292
인포뱅크,-0.019,-0.075,-0.073,-0.314,-0.481,-0.913
세중,-0.029,-0.05,-0.039,0.37,0.504,0.87
한국경제TV,0.028,-0.01,-0.009,3.039,8.843,9.036
케이엘넷,-0.007,-0.052,0.07,-0.596,-0.895,-0.903
에스티아이,-0.022,-0.038,0.003,-0.247,-0.491,-0.74
키움증권,-0.029,-0.126,-0.12,0.288,0.262,-0.032
다산네트웍스,-0.016,-0.132,-0.218,0.163,0.412,-0.12
HDC아이콘트롤스,0.021,-0.026,-0.046,0.278,-0.066,-0.514
화성밸브,0.037,0.025,0.017,2.786,3.598,2.741
한류타임즈,0.0,0.0,0.0,,,
한국정보공학,0.028,0.02,0.028,-0.612,-0.688,-0.803
오로라,0.013,0.008,0.016,2.22,0.432,2.513
디오,-0.008,-0.022,0.084,-0.398,-0.596,-0.739
나노엔텍,-0.03,-0.096,-0.154,-0.081,-0.28,-0.638
리노스,0.003,-0.018,-0.033,-0.318,-0.542,-0.891
누리텔레콤,0.015,-0.09,-0.112,-0.576,-0.581,-0.814
YTN,-0.018,-0.027,0.122,-0.575,-0.686,-0.95
큐로컴,0.005,-0.013,-0.154,-0.421,-0.518,-0.704
정상제이엘에스,0.005,0.018,-0.006,-0.114,-0.288,-0.6
SG&G,-0.017,-0.068,0.059,1.16,3.34,0.978
아이씨디,-0.016,-0.051,-0.03,-0.134,-0.554,-0.522
인프라웨어,0.046,0.015,0.069,-0.187,-0.87,-0.807
넥슨지티,-0.003,-0.041,0.023,-0.518,-0.887,-0.858
우리기술투자,0.007,-0.027,-0.025,-0.544,-0.902,-0.889
에버다임,0.081,0.105,0.181,2.719,2.248,4.861
한국전자인증,0.037,0.081,0.118,-0.373,-0.559,-0.17
에스엠,0.042,0.065,0.08,0.328,0.796,0.372
이라이콤,0.022,-0.108,-0.15,-0.255,-0.744,-0.739
젬백스지오,0.001,-0.023,-0.018,0.031,-0.459,-0.892
상신브레이크,0.01,-0.065,0.109,0.5,-0.555,-0.552
인바디,-0.006,-0.012,0.024,-0.42,-0.393,-0.507
에스텍파마,-0.021,-0.079,-0.132,0.366,0.38,-0.309
메디아나,0.082,-0.004,-0.125,1.593,1.932,0.065
동아화성,0.004,-0.041,0.08,-0.747,-0.632,-0.718
코미팜,0.01,-0.034,-0.133,-0.399,-0.477,-0.73
카페24,-0.016,-0.089,-0.406,-0.274,-0.535,-0.718
케이피엠테크,0.135,0.136,0.039,3.443,10.87,10.552
에스씨디,-0.004,-0.057,-0.142,-0.217,-0.364,-0.908
비츠로테크,0.007,-0.056,0.04,-0.382,-0.855,-0.887
네오위즈홀딩스,0.09,0.369,0.769,0.554,-0.211,1.104
링네트,0.006,0.009,-0.089,0.083,0.005,-0.934
라온시큐어,0.001,0.023,0.002,-0.746,-0.445,-0.157
한스바이오메드,0.001,-0.011,-0.031,-0.085,-0.446,-0.722
새로닉스,-0.03,-0.151,-0.172,-0.24,-0.576,-0.906
대우조선해양,-0.016,-0.044,-0.078,-0.283,-0.269,-0.587
두산인프라코어,-0.007,-0.048,-0.044,-0.116,-0.656,-0.739
한미반도체,-0.008,0.039,0.186,0.422,-0.289,-0.276
상지카일룸,0.018,-0.008,0.017,-0.095,-0.607,-0.516
큐브앤컴퍼니,0.008,-0.06,0.113,-0.475,-0.059,0.015
솔고바이오,0.0,0.0,0.0,,,
바텍,0.011,0.025,0.084,-0.199,-0.357,-0.348
파루,0.011,-0.195,-0.404,-0.415,-0.849,-0.768
에이치엘비파워,0.01,-0.047,-0.159,-0.54,-0.553,-0.125
성호전자,0.053,0.041,0.115,3.329,7.839,11.631
케이맥,0.066,-0.024,0.003,-0.424,-0.328,-0.699
에쎈테크,0.003,-0.009,-0.01,-0.644,-0.569,-0.712
디지아이,0.013,-0.001,0.044,-0.242,-0.474,-0.157
평화정공,0.0,-0.062,0.065,0.287,-0.583,-0.662
크로바하이텍,0.0,0.0,0.146,,,
지니뮤직,0.018,0.068,0.191,-0.529,0.134,0.443
국순당,-0.004,-0.089,0.076,-0.641,-0.707,-0.639
서울리거,0.001,0.004,-0.042,-0.394,-0.214,-0.827
자연과환경,0.005,-0.024,-0.047,-0.249,-0.494,-0.879
조광ILI,0.012,-0.059,-0.06,-0.118,-0.221,-0.73
KD,0.022,-0.055,-0.212,-0.476,-0.913,-0.823
위닉스,0.019,0.001,0.083,-0.244,-0.39,-0.433
주연테크,0.042,0.076,0.015,-0.009,1.073,1.277
KSS해운,0.03,0.017,0.037,1.342,2.394,1.822
경남바이오파마,0.007,-0.072,-0.268,0.537,-0.621,-0.421
태웅,-0.029,-0.086,-0.152,-0.119,-0.653,-0.749
에이치케이,0.005,-0.007,-0.006,-0.589,-0.566,-0.748
코스맥스비티아이,0.04,0.013,-0.022,0.881,1.171,0.169
이글벳,-0.01,-0.072,-0.195,-0.483,-0.371,-0.86
오공,0.0,-0.05,-0.061,-0.398,-0.468,-0.847
한양이엔지,-0.017,-0.087,-0.078,-0.017,-0.411,-0.635
성우테크론,-0.02,-0.069,0.023,-0.344,-0.736,-0.518
토탈소프트,-0.106,-0.098,0.122,-0.1,-0.187,-0.774
대아티아이,-0.017,-0.064,-0.105,-0.217,-0.336,-0.704
정원엔시스,0.031,0.017,-0.033,-0.644,-0.074,-0.654
크린앤사이언스,0.008,-0.041,-0.048,-0.347,-0.616,-0.627
에이텍,0.026,0.004,-0.039,-0.203,0.786,-0.285
GV,-0.036,-0.02,-0.184,-0.676,-0.679,-0.504
코아시아,0.015,-0.038,0.103,-0.406,-0.361,-0.539
코다코,0.083,0.061,0.025,2.374,3.317,0.454
한일네트웍스,-0.017,0.047,0.082,-0.189,0.032,1.217
오르비텍,0.004,0.024,0.195,0.283,-0.521,-0.372
SBS콘텐츠허브,0.018,0.009,0.028,-0.092,0.21,-0.194
파나진,-0.003,-0.03,0.005,-0.199,-0.625,-0.723
백금T&A,-0.014,-0.078,-0.042,-0.261,-0.493,-0.946
삼화네트웍스,0.123,0.062,0.601,-0.096,0.055,-0.534
KG모빌리언스,0.005,0.017,0.004,-0.324,-0.841,-0.673
서울반도체,-0.013,-0.04,-0.043,-0.023,-0.325,-0.594
우원개발,-0.007,-0.044,-0.056,-0.188,-0.337,-0.683
우리로,0.016,-0.024,-0.057,1.266,2.224,2.222
대우건설,-0.035,-0.08,-0.006,0.015,-0.222,-0.695
포스코인터내셔널,-0.035,-0.054,0.187,-0.315,-0.522,-0.156
한빛소프트,0.108,0.342,0.505,-0.366,1.117,4.222
파워로직스,-0.008,-0.014,0.022,-0.217,-0.746,-0.752
유니온머티리얼,-0.017,0.026,0.049,-0.584,-0.832,-0.578
이스트소프트,0.005,0.009,0.004,-0.538,-0.713,-0.784
코데즈컴바인,-0.014,-0.08,-0.08,-0.108,-0.889,-0.863
한국항공우주,-0.014,-0.089,0.088,-0.216,-0.611,-0.463
초록뱀,0.019,-0.014,0.091,-0.177,-0.641,-0.675
에이치엘비제약,-0.021,-0.04,-0.084,-0.511,-0.694,-0.387
오스템임플란트,0.01,0.022,0.214,-0.38,-0.532,-0.611
현대바이오,-0.009,0.31,0.773,-0.384,-0.501,-0.422
유라테크,-0.008,-0.024,-0.09,-0.495,-0.529,-0.704
대동스틸,0.02,0.039,0.063,-0.788,-0.588,-0.551
인트론바이오,0.063,0.05,-0.009,-0.204,0.13,-0.452
SM C&C,0.012,-0.003,0.022,-0.065,-0.562,-0.452
TPC,-0.006,-0.025,0.019,-0.259,-0.673,-0.548
엔피케이,0.029,0.024,0.011,0.004,-0.131,-0.776
시너지이노베이션,-0.008,-0.054,-0.117,-0.444,-0.669,-0.926
대원미디어,0.0,-0.03,0.151,-0.447,-0.896,-0.791
인탑스,0.007,-0.066,0.056,-0.426,-0.586,-0.628
기가레인,-0.068,-0.191,-0.284,-0.254,-0.337,-0.626
파인디앤씨,0.015,-0.034,-0.038,-0.594,-0.765,-0.744
셀루메드,0.0,0.0,0.0,,,
코메론,0.008,-0.013,-0.014,-0.009,-0.292,-0.657
SGA,0.006,0.073,0.073,-0.743,-0.445,-0.245
오픈베이스,-0.004,-0.033,-0.066,-0.21,-0.4,-0.742
유아이엘,-0.018,-0.03,-0.053,0.625,0.613,-0.256
잉크테크,0.089,0.125,0.155,3.306,8.175,7.831
재영솔루텍,-0.012,-0.068,-0.111,-0.086,-0.282,-0.743
고려신용정보,-0.001,-0.003,0.006,-0.036,-0.395,-0.529
동원F&B,0.003,0.036,0.08,-0.322,-0.473,-0.395
우진플라임,0.017,0.056,0.095,-0.776,-0.503,-0.627
승일,0.011,-0.013,0.016,-0.213,-0.608,-0.61
미래컴퍼니,-0.034,-0.071,-0.058,0.259,-0.101,-0.466
쎌바이오텍,0.007,0.005,-0.049,1.672,2.82,0.383
휘닉스소재,-0.012,-0.058,-0.177,-0.383,-0.401,-0.923
캠시스,-0.014,-0.073,-0.078,-0.157,-0.574,-0.725
라이브플렉스,0.001,0.012,0.895,-0.402,-0.69,-0.931
아래스,0.0,0.0,0.0,,,
한국코퍼레이션,0.0,0.0,0.0,,,
에스폴리텍,-0.005,-0.086,-0.077,-0.405,-0.781,-0.815
아세아텍,0.021,0.007,0.031,0.626,0.414,-0.032
쏠리드,0.001,-0.109,-0.189,0.125,0.278,-0.246
수산아이앤티,-0.228,-0.32,-0.137,-0.169,0.829,0.205
지어소프트,0.021,0.081,0.265,-0.018,-0.656,-0.473
토비스,0.014,-0.008,-0.034,-0.409,-0.482,-0.796
인터플렉스,-0.025,-0.144,-0.223,-0.245,0.045,-0.508
피씨디렉트,-0.002,0.012,0.031,-0.507,-0.556,-0.519
YW,0.049,0.144,0.181,-0.635,-0.196,0.186
나라엠앤디,-0.026,-0.133,-0.179,-0.105,-0.121,-0.796
CJ프레시웨이,-0.006,-0.007,0.047,-0.221,-0.252,-0.478
한전KPS,0.013,0.006,-0.027,-0.018,0.135,-0.322
진양화학,0.078,0.076,-0.1,-0.373,0.8,0.142
큐로홀딩스,0.04,0.041,-0.025,0.349,0.093,0.07
LG생활건강,0.003,-0.049,-0.05,-0.212,0.028,-0.083
LG생활건강우,-0.009,-0.018,-0.013,-0.579,-0.522,-0.637
LG화학,0.036,-0.031,-0.005,0.038,0.208,0.185
LG화학우,0.019,-0.077,-0.054,0.133,0.229,-0.11
센트럴바이오,0.002,0.201,0.103,-0.322,-0.692,-0.6
에스티큐브,0.037,0.056,0.162,-0.29,-0.399,-0.551
이에스에이,0.0,0.0,0.0,,,
iMBC,-0.045,-0.065,0.031,-0.618,-0.725,-0.765
현대바이오랜드,0.015,-0.013,-0.018,-0.216,-0.906,-0.8
W홀딩컴퍼니,0.008,0.008,0.021,-0.375,-0.561,-0.525
코텍,0.013,0.013,0.062,0.256,0.625,0.338
코나아이,-0.01,0.054,0.326,-0.467,-0.718,-0.598
오성첨단소재,-0.034,-0.131,-0.17,0.025,-0.751,-0.796
아이크래프트,0.029,0.071,0.014,-0.348,1.363,1.925
한네트,0.013,0.224,0.462,-0.778,-0.839,-0.585
제일바이오,0.001,-0.066,-0.162,-0.071,-0.152,-0.84
한전기술,0.076,0.097,0.123,1.171,3.027,3.129
아모텍,-0.005,-0.061,-0.055,0.077,-0.449,-0.718
아이톡시,0.0,0.0,-0.163,,,
액토즈소프트,-0.023,-0.077,-0.109,0.237,-0.031,-0.492
아이앤씨,-0.008,-0.073,-0.065,-0.186,-0.46,-0.837
KMH하이텍,-0.047,0.083,0.18,-0.794,-0.546,-0.237
바이넥스,-0.007,-0.06,-0.01,-0.46,-0.693,-0.474
지에스이,0.009,-0.011,-0.029,-0.312,-0.483,-0.808
세동,-0.022,0.038,0.351,-0.388,-0.581,-0.261
원방테크,0.006,-0.007,0.024,-0.256,-0.734,-0.818
소리바다,-0.046,0.022,-0.098,-0.832,-0.751,-0.35
프리엠스,0.027,0.07,0.101,-0.026,-0.099,-0.668
스카이라이프,-0.01,-0.028,-0.045,-0.197,-0.518,-0.586
금강철강,0.059,0.187,0.226,0.416,4.051,13.17
구영테크,0.192,0.284,0.91,0.799,2.882,5.0
예스24,0.002,-0.023,-0.095,-0.05,-0.544,-0.789
NE능률,0.43,0.678,0.861,0.105,2.84,5.431
한국정보인증,-0.009,-0.02,-0.1,-0.446,-0.92,-0.871
이니텍,-0.007,-0.038,0.003,0.634,-0.503,-0.338
세코닉스,-0.011,-0.081,0.037,-0.267,-0.6,-0.711
웹케시,-0.002,-0.055,-0.042,-0.261,-0.521,-0.702
한국테크놀로지,0.17,0.277,0.201,0.512,3.458,3.959
프로텍,-0.009,-0.07,0.003,-0.235,-0.718,-0.816
태양,0.02,-0.006,0.09,-0.141,-0.885,-0.723
현진소재,0.0,0.0,0.0,,,
한미글로벌,-0.009,-0.052,-0.062,-0.19,-0.593,-0.705
삼보모터스,0.021,-0.003,0.056,0.096,-0.197,-0.293
안랩,0.018,0.065,0.156,-0.296,-0.024,-0.333
경남제약,-0.013,-0.067,-0.099,-0.313,-0.534,-0.865
오상자이엘,-0.017,-0.045,-0.205,0.238,-0.161,-0.641
한국컴퓨터,-0.01,0.154,0.276,-0.88,-0.824,-0.535
농우바이오,0.001,-0.056,0.053,-0.442,-0.738,-0.804
삼진엘앤디,-0.03,-0.05,-0.016,0.187,-0.598,-0.894
메디콕스,0.006,-0.019,-0.137,-0.204,-0.794,-0.938
이랜텍,0.0,-0.032,-0.006,-0.591,-0.59,-0.536
비츠로시스,0.0,0.0,0.006,,,
팬스타엔터프라이즈,0.029,0.047,0.13,-0.494,-0.64,-0.064
케이피티유,-0.01,-0.05,0.085,-0.403,-0.854,-0.899
텔레칩스,0.01,0.038,0.206,-0.418,-0.656,-0.71
삼영엠텍,0.0,-0.063,-0.098,-0.422,-0.663,-0.696
APS홀딩스,-0.011,-0.007,-0.001,-0.319,-0.514,-0.449
에이디칩스,-0.054,-0.139,0.015,0.021,-0.537,-0.804
대한뉴팜,0.005,-0.051,-0.101,-0.095,-0.116,-0.479
키이스트,0.048,-0.046,0.077,0.404,-0.041,-0.243
아이디스홀딩스,-0.009,-0.039,-0.028,-0.339,-0.573,-0.874
한컴위드,0.012,-0.046,0.112,-0.185,-0.449,-0.639
유신,0.036,0.027,0.08,1.65,1.727,1.323
엑사이엔씨,-0.004,-0.026,-0.045,0.157,-0.483,-0.755
제이브이엠,0.006,-0.052,-0.063,-0.491,-0.642,-0.558
테이팩스,0.043,0.06,0.076,0.639,0.284,0.382
신한지주,0.013,0.034,0.03,0.328,0.743,0.483
COWON,0.0,0.0,0.039,,,-1.0
유진로봇,0.011,0.028,0.272,-0.421,-0.833,-0.866
유앤아이,-0.011,-0.02,-0.021,-0.588,-0.841,-0.816
에스에프에이,0.009,0.005,0.083,-0.371,-0.696,-0.685
코위버,-0.017,-0.061,-0.078,-0.19,-0.393,-0.589
신화인터텍,-0.025,-0.103,-0.079,0.326,-0.007,-0.76
포스링크,0.0,0.0,0.0,,,
YBM넷,0.01,-0.002,-0.133,-0.548,-0.109,-0.633
현대홈쇼핑,-0.021,-0.036,-0.048,0.408,0.586,0.005
옴니시스템,-0.003,-0.028,-0.059,-0.149,-0.459,-0.647
티사이언티픽,-0.005,-0.028,-0.056,0.146,-0.601,-0.688
필로시스헬스케어,0.034,0.091,0.072,1.577,0.739,0.475
멕아이씨에스,-0.061,-0.515,-0.563,-0.404,-0.406,-0.611
아리온,0.0,0.0,0.0,,,
KNN,-0.027,-0.059,-0.133,0.18,-0.149,-0.875
제이웨이,0.0,0.0,-0.302,,-1.0,-1.0
포스코강판,-0.041,0.273,0.526,0.115,0.269,2.361
일야,0.0,0.0,0.0,,,
리노공업,-0.036,-0.047,0.033,-0.001,0.026,-0.249
슈펙스비앤피,0.0,0.0,0.0,,,
에스피지,-0.022,-0.054,-0.015,-0.278,-0.34,-0.66
엠게임,0.104,0.294,0.414,-0.397,0.826,2.555
세아홀딩스,0.015,0.023,-0.007,1.375,0.414,0.14
다스코,-0.003,-0.031,-0.048,-0.147,-0.528,-0.74
CMG제약,-0.005,-0.082,-0.183,0.041,-0.142,-0.787
KTcs,0.05,0.112,0.225,1.311,-0.024,1.001
KTis,0.033,0.011,0.039,-0.17,-0.732,-0.6
미코,-0.001,-0.083,-0.064,-0.351,-0.384,-0.589
아이컴포넌트,0.0,-0.057,0.022,-0.601,-0.625,-0.854
아진엑스텍,0.005,0.026,0.153,-0.233,-0.673,-0.776
메타바이오메드,-0.016,-0.051,-0.094,0.289,-0.039,-0.522
인선이엔티,-0.015,-0.036,0.033,-0.109,-0.437,-0.61
이그잭스,0.023,0.037,0.003,-0.295,-0.204,-0.162
룽투코리아,0.038,0.015,0.065,-0.321,-0.356,-0.49
NHN한국사이버결제,-0.01,-0.097,-0.229,-0.172,-0.46,-0.344
뉴보텍,0.01,-0.012,-0.078,-0.065,-0.418,-0.878
큐렉소,0.027,-0.013,0.051,0.802,0.158,0.05
레드로버,0.0,0.0,0.0,,,
3S,0.004,-0.061,0.029,-0.213,-0.864,-0.785
KT서브마린,0.008,-0.027,-0.027,0.374,-0.589,-0.65
동양에스텍,0.026,-0.351,-0.272,-0.317,-0.852,-0.608
국일신동,0.02,0.045,0.098,0.051,-0.51,0.181
에스에이티,-0.008,-0.039,-0.043,0.035,-0.037,-0.656
홈센타홀딩스,0.013,0.005,-0.071,-0.101,-0.724,-0.761
드림어스컴퍼니,0.021,0.019,0.022,-0.328,-0.339,-0.681
씨티씨바이오,0.03,-0.063,-0.146,0.011,-0.014,-0.558
KH바텍,0.026,0.074,0.071,-0.221,0.042,0.222
영림원소프트랩,-0.016,-0.065,-0.086,-0.449,-0.596,-0.878
대한그린파워,-0.192,0.019,0.262,-0.4,-0.234,0.671
한라홀딩스,-0.013,-0.025,-0.015,0.016,-0.657,-0.648
알에프텍,-0.046,-0.108,-0.157,-0.063,-0.097,-0.384
화일약품,0.06,0.242,0.281,-0.441,0.802,2.085
엘비세미콘,0.064,0.01,0.012,0.696,1.045,0.023
티엘아이,0.045,0.032,0.244,0.672,0.018,-0.443
피피아이,-0.011,-0.103,-0.164,0.1,-0.033,-0.245
게임빌,0.045,0.035,0.064,0.364,-0.332,-0.174
종근당바이오,0.074,0.069,-0.033,0.941,1.264,-0.671
서울옥션,-0.003,0.119,0.171,-0.61,-0.696,-0.716
SM Life Design,0.073,0.105,0.358,0.857,0.674,1.71
한국전자금융,-0.039,0.103,0.119,-0.856,-0.517,0.237
이엘피,-0.017,-0.057,0.035,-0.313,0.041,-0.476
에프앤리퍼블릭,-0.004,-0.007,-0.004,-0.709,-0.767,-0.92
홈캐스트,-0.012,0.071,0.015,-0.683,-0.666,-0.242
다날,0.033,0.178,0.432,-0.207,-0.653,-0.142
인텍플러스,0.006,0.022,0.286,-0.436,-0.781,-0.78
현대로템,0.001,-0.01,0.035,-0.375,-0.525,-0.812
브리지텍,-0.01,-0.026,0.013,-0.233,-0.692,-0.752
에코마이스터,0.01,-0.017,-0.049,1.369,1.231,0.346
바른전자,0.0,0.0,0.0,,,
바이오니아,-0.031,-0.114,-0.139,-0.124,-0.288,-0.538
티씨케이,0.011,-0.014,0.172,-0.22,-0.361,-0.495
젬백스링크,0.009,-0.022,-0.013,-0.286,-0.465,-0.868
케이프,0.009,-0.012,-0.031,-0.355,-0.636,-0.852
에프앤가이드,0.011,-0.01,,0.725,0.229,
S&T모티브,-0.011,-0.052,0.047,-0.133,-0.485,-0.703
지엔코,0.039,0.037,-0.017,0.008,0.655,0.704
탑엔지니어링,-0.019,-0.076,-0.112,-0.076,-0.44,-0.762
MP그룹,0.0,-0.039,-0.173,,-1.0,-1.0
넥스트BT,-0.022,-0.067,-0.127,0.261,-0.534,-0.62
신성델타테크,-0.008,-0.098,-0.066,-0.441,-0.289,-0.922
위세아이텍,-0.181,-0.325,-0.266,-0.121,-0.504,-0.173
에스아이리소스,0.0,0.0,0.0,,,
이루온,0.034,0.042,0.113,-0.286,-0.074,-0.214
빅텍,0.006,-0.008,-0.011,0.211,-0.302,-0.77
오리엔트정공,0.022,0.008,0.174,-0.388,-0.049,-0.544
휴비츠,-0.002,-0.007,0.025,0.089,-0.66,-0.644
전파기지국,-0.013,-0.057,-0.066,0.202,-0.269,-0.661
녹원씨엔아이,0.005,-0.045,0.025,0.239,-0.458,-0.26
삼영이엔씨,0.009,-0.118,-0.112,-0.273,-0.798,-0.761
제낙스,0.0,0.0,0.271,,,
메디프론,-0.005,-0.05,-0.079,-0.282,-0.457,-0.62
안트로젠,-0.078,-0.135,-0.087,0.18,0.26,-0.212
우주일렉트로,-0.022,-0.24,-0.304,-0.441,-0.651,-0.571
