STOCKNAME,PSMAR5,PSMAR20,PSMAR60,VSMAR5,VSMAR20,VSMAR60
대한화섬,-0.002,-0.027,0.052,-0.284,-0.767,-0.744
보령제약,-0.013,0.007,0.001,-0.164,-0.012,-0.653
남양유업,-0.003,-0.01,0.003,-0.262,-0.493,-0.558
남양유업우,0.011,0.0,0.109,0.081,0.511,-0.472
사조대림,0.005,0.001,0.016,0.086,-0.535,-0.506
롯데정밀화학,-0.019,-0.063,-0.078,-0.309,-0.441,-0.617
현대제철,0.033,0.056,0.048,0.177,0.502,0.113
SG세계물산,0.004,0.004,0.046,-0.257,-0.369,-0.614
신흥,-0.008,0.005,0.072,-0.342,-0.739,-0.755
한국석유,-0.067,0.261,0.496,0.008,2.463,7.265
태양금속,0.009,0.018,0.073,0.251,0.779,2.649
태양금속우,-0.003,-0.014,-0.043,0.227,0.097,-0.108
동방,0.047,0.207,1.115,-0.254,-0.53,-0.272
한솔홀딩스,-0.001,-0.027,-0.031,-0.104,-0.6,-0.725
신세계,0.037,0.129,0.188,-0.237,-0.197,0.022
NPC,0.011,0.084,0.177,-0.608,-0.443,-0.09
NPC우,0.007,0.002,0.048,-0.446,-0.626,-0.691
남성,0.131,0.11,0.025,2.925,4.798,4.475
현대약품,0.002,0.071,0.09,-0.615,-0.353,-0.781
세방,-0.001,-0.043,0.053,-0.515,-0.722,-0.716
세방우,0.006,-0.045,-0.005,-0.181,-0.901,-0.856
농심,-0.006,-0.037,-0.064,-0.173,-0.291,-0.597
삼익THK,0.005,0.004,0.044,-0.652,-0.686,-0.694
서울식품,0.0,0.325,0.637,-0.737,-0.741,-0.485
서울식품우,-0.032,-0.074,-0.085,-0.482,-0.761,-0.869
송원산업,-0.027,-0.087,0.02,0.055,-0.708,-0.51
삼일씨엔에스,-0.026,-0.068,0.051,0.207,-0.478,-0.483
삼화왕관,-0.005,-0.012,-0.029,-0.736,-0.874,-0.894
세방전지,-0.031,-0.157,0.011,-0.06,-0.367,-0.619
깨끗한나라,-0.013,-0.054,-0.074,0.233,-0.484,-0.571
깨끗한나라우,-0.021,-0.041,-0.124,1.384,1.129,0.721
현대비앤지스틸,-0.016,0.077,0.429,-0.744,-0.511,-0.52
현대비앤지스틸우,-0.042,-0.183,0.004,-0.415,-0.459,-0.299
한국가구,-0.006,-0.049,0.134,-0.056,-0.928,-0.838
창해에탄올,-0.014,-0.023,-0.054,0.688,1.827,-0.036
삼천리,-0.008,-0.01,-0.003,-0.718,-0.767,-0.771
조광피혁,0.003,-0.029,-0.042,-0.562,-0.614,-0.807
한솔테크닉스,0.021,0.006,0.006,-0.347,-0.256,-0.6
우리들제약,-0.008,-0.063,-0.162,-0.105,-0.368,-0.791
써니전자,0.038,0.007,0.005,-0.394,-0.37,-0.797
대륙제관,0.001,-0.02,0.02,-0.365,-0.706,-0.754
효성,0.004,-0.057,0.005,-0.386,-0.739,-0.62
덕성,0.128,0.377,0.282,-0.177,2.124,3.736
덕성우,0.053,0.267,0.148,0.09,2.274,0.912
DRB동일,0.008,-0.001,0.001,0.218,0.006,-0.563
티웨이홀딩스,0.031,0.127,0.318,-0.586,-0.316,-0.078
동일산업,0.004,-0.003,0.021,-0.439,-0.31,-0.76
조광페인트,-0.006,-0.025,-0.017,0.038,-0.562,-0.892
씨아이테크,0.008,0.02,0.029,-0.248,-0.662,-0.397
한신공영,-0.02,-0.059,-0.022,-0.31,-0.392,-0.436
신라교역,0.001,-0.013,0.027,-0.515,-0.73,-0.73
성신양회,-0.014,-0.04,0.0,-0.383,-0.699,-0.719
성신양회우,0.009,-0.007,-0.04,-0.389,0.707,-0.214
롯데지주,-0.018,-0.035,-0.054,-0.147,-0.114,-0.441
롯데지주우,-0.003,-0.032,-0.088,-0.742,-0.795,-0.946
휴스틸,0.01,0.095,0.193,-0.673,-0.888,-0.699
부산주공,-0.006,-0.027,-0.061,-0.163,-0.731,-0.832
코스모신소재,-0.021,-0.075,-0.033,-0.267,-0.527,-0.662
SGC에너지,0.005,0.005,0.025,0.337,-0.434,-0.31
한창,-0.032,-0.065,-0.128,-0.527,-0.333,-0.668
동국산업,0.0,-0.026,-0.056,-0.203,-0.475,-0.562
빙그레,-0.005,-0.002,0.017,-0.186,-0.263,-0.366
동성화학,0.002,0.0,-0.005,-0.461,-0.644,-0.692
녹십자홀딩스,0.004,-0.06,-0.094,-0.486,-0.402,-0.781
녹십자홀딩스2우,-0.047,-0.13,-0.259,-0.244,-0.276,-0.823
